,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
0,6,14,30,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,3645.0
1,6,13,34,2.0,2,2,2.0,2.0,,2.0,18.0,1,1.0,,9130.0
2,6,6,53,2.0,2,2,2.0,2.0,,2.0,18.0,2,1.0,,5700.0
3,6,11,44,2.0,2,2,2.0,2.0,,2.0,15.0,2,1.0,,4720.0
4,6,18,48,2.0,2,2,2.0,2.0,2.0,2.0,14.0,1,6.0,,
5,6,2,73,2.0,1,2,2.0,2.0,2.0,2.0,21.0,1,6.0,3700.0,9040.0
6,6,2,72,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,4700.0
7,6,15,52,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,2304.0,5700.0
8,6,12,49,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,2400.0,1220.0
9,6,14,51,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,2630.0
10,6,15,18,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,4760.0
11,6,10,12,2.0,2,2,,2.0,,2.0,10.0,1,,,
12,6,3,19,2.0,2,2,2.0,2.0,,2.0,19.0,1,6.0,,
13,6,12,58,2.0,2,2,2.0,2.0,,2.0,22.0,1,1.0,2102.0,1010.0
14,6,10,55,2.0,2,2,2.0,2.0,,1.0,19.0,2,1.0,,5320.0
15,6,13,79,2.0,1,2,1.0,1.0,,2.0,21.0,2,2.0,6402.0,2440.0
16,6,9,65,2.0,2,2,2.0,2.0,2.0,2.0,18.0,1,1.0,,7855.0
17,6,9,64,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,
18,6,11,45,2.0,2,2,2.0,2.0,,1.0,9.0,1,1.0,,4250.0
19,6,13,40,2.0,2,2,2.0,2.0,,2.0,14.0,2,6.0,,4600.0
20,6,14,20,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,4020.0
21,6,11,16,1.0,2,2,1.0,2.0,,1.0,10.0,2,6.0,,
22,6,11,16,2.0,2,2,2.0,2.0,,2.0,12.0,2,6.0,,
23,6,5,43,2.0,2,2,2.0,2.0,2.0,2.0,21.0,1,1.0,6107.0,3255.0
24,6,4,44,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,3255.0
25,6,5,8,2.0,2,2,,2.0,,2.0,6.0,2,,,
26,6,11,74,2.0,2,2,2.0,2.0,,2.0,22.0,1,6.0,2408.0,1006.0
27,6,12,77,2.0,1,2,2.0,2.0,,2.0,22.0,2,6.0,6199.0,
28,6,21,46,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,2100.0,2340.0
29,6,24,55,2.0,2,2,2.0,2.0,,2.0,23.0,1,1.0,5506.0,2100.0
30,6,29,51,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6107.0,3255.0
31,6,32,31,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,9620.0
32,6,24,40,2.0,2,2,2.0,2.0,,2.0,7.0,2,1.0,,6040.0
33,6,22,5,2.0,2,2,,2.0,,2.0,1.0,2,,,
34,6,25,2,,2,2,,,,,,1,,,
35,6,7,63,2.0,2,2,2.0,2.0,2.0,2.0,19.0,1,6.0,,
36,6,6,59,1.0,2,2,1.0,1.0,,2.0,16.0,2,6.0,,
37,6,7,30,2.0,2,2,2.0,2.0,,2.0,18.0,2,3.0,,4110.0
38,6,6,15,2.0,2,2,2.0,2.0,,2.0,10.0,1,,,
39,6,7,30,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,9130.0
40,6,6,49,2.0,2,2,2.0,2.0,,2.0,20.0,1,1.0,,8740.0
