,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
0,17,3,50,2.0,2,2,2.0,1.0,,2.0,19.0,1,6.0,,
1,17,4,48,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,4510.0
2,17,19,74,2.0,2,2,2.0,2.0,,2.0,16.0,1,6.0,,3930.0
3,17,17,74,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
4,17,11,32,2.0,2,2,2.0,2.0,,2.0,15.0,1,1.0,,6260.0
5,17,13,35,2.0,2,2,2.0,2.0,,2.0,15.0,2,3.0,,9920.0
6,17,12,15,2.0,2,2,2.0,2.0,,2.0,12.0,2,,,
7,17,9,11,2.0,2,2,,2.0,,2.0,8.0,1,,,
8,17,11,6,2.0,2,2,,2.0,,2.0,3.0,2,,,
9,17,23,4,,2,2,,,,,1.0,2,,,
10,17,10,69,2.0,1,2,2.0,2.0,2.0,2.0,18.0,1,6.0,,6230.0
11,17,12,66,2.0,2,2,2.0,2.0,,2.0,13.0,2,6.0,,4720.0
12,17,6,79,1.0,1,2,1.0,1.0,2.0,1.0,13.0,1,6.0,,
13,17,50,40,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,9620.0
14,17,63,39,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,3600.0
15,17,73,34,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,5940.0
16,17,21,53,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,5860.0
17,17,14,57,2.0,2,2,2.0,2.0,,2.0,19.0,1,6.0,,
18,17,34,24,2.0,1,2,2.0,2.0,,1.0,18.0,1,1.0,,9620.0
19,17,31,18,2.0,1,2,1.0,2.0,,2.0,15.0,1,6.0,,
20,17,24,77,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
21,17,22,79,2.0,2,2,2.0,2.0,2.0,2.0,16.0,1,6.0,,
22,17,8,56,2.0,2,2,2.0,2.0,,2.0,14.0,1,6.0,,
23,17,10,23,2.0,2,1,2.0,2.0,,1.0,11.0,1,6.0,,4720.0
24,17,14,77,2.0,2,2,2.0,2.0,,2.0,1.0,2,6.0,,
25,17,13,32,2.0,2,2,2.0,2.0,,2.0,24.0,1,1.0,2405.0,1965.0
26,17,10,32,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,2304.0,2310.0
27,17,14,0,,2,2,,,,,,1,,,
28,17,20,29,2.0,2,2,2.0,2.0,,2.0,19.0,1,1.0,,2840.0
29,17,26,27,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6203.0,5820.0
30,17,5,56,2.0,1,2,2.0,1.0,1.0,2.0,11.0,1,1.0,,3930.0
