,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
0,25,14,58,2.0,2,2,2.0,2.0,,2.0,22.0,2,3.0,2300.0,800.0
1,25,22,69,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,4740.0
2,25,19,19,2.0,2,2,2.0,2.0,,2.0,18.0,2,3.0,,4620.0
3,25,15,49,2.0,2,2,2.0,2.0,,2.0,19.0,1,1.0,,110.0
4,25,13,36,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,7200.0
5,25,12,35,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6203.0,800.0
6,25,11,8,2.0,2,2,,2.0,,2.0,6.0,1,,,
7,25,14,3,,2,2,,,,,1.0,2,,,
8,25,17,30,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,3310.0
9,25,20,38,2.0,2,2,2.0,2.0,,2.0,19.0,1,1.0,,4820.0
10,25,28,31,2.0,2,2,2.0,2.0,,2.0,24.0,1,6.0,3601.0,1760.0
11,25,19,49,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,5506.0,4850.0
12,25,20,49,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,110.0
13,25,18,14,2.0,2,2,,2.0,,2.0,11.0,1,,,
14,25,17,11,2.0,2,2,,2.0,,2.0,7.0,1,,,
15,25,17,34,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,6206.0,4640.0
16,25,13,55,2.0,2,2,2.0,1.0,,1.0,12.0,2,6.0,,4230.0
17,25,12,37,2.0,2,2,2.0,2.0,,2.0,18.0,1,1.0,,1010.0
18,25,10,37,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,5004.0,5320.0
19,25,10,17,2.0,2,2,2.0,2.0,,2.0,14.0,2,6.0,,
20,25,10,16,2.0,2,2,2.0,2.0,,2.0,13.0,2,6.0,,
21,25,11,13,2.0,2,2,,2.0,,2.0,10.0,2,,,
22,25,10,12,2.0,2,2,,2.0,,2.0,9.0,1,,,
23,25,8,50,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,3800.0
24,25,6,48,2.0,2,2,2.0,2.0,2.0,2.0,22.0,2,1.0,6109.0,3150.0
25,25,8,19,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,4060.0
26,25,5,16,2.0,2,2,2.0,2.0,,2.0,13.0,1,3.0,,9920.0
27,25,6,11,2.0,2,2,,2.0,,2.0,7.0,1,,,
28,25,8,40,2.0,2,2,2.0,2.0,,2.0,22.0,1,1.0,6403.0,2310.0
29,25,8,38,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,3301.0,800.0
30,25,8,2,,2,2,,,,,,2,,,
31,25,11,61,2.0,2,2,2.0,2.0,,2.0,21.0,2,6.0,5007.0,
32,25,11,39,2.0,2,2,2.0,2.0,,2.0,24.0,1,1.0,3600.0,2200.0
33,25,12,42,2.0,2,2,2.0,2.0,,2.0,22.0,2,6.0,1501.0,2310.0
34,25,10,10,2.0,2,2,,2.0,,2.0,7.0,2,,,
35,25,10,7,2.0,2,2,,2.0,,2.0,4.0,2,,,
36,25,14,6,2.0,2,2,,2.0,,2.0,3.0,1,,,
37,25,10,60,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,5240.0
38,25,11,77,1.0,1,2,1.0,1.0,,2.0,12.0,2,6.0,,
39,25,7,63,2.0,2,2,2.0,2.0,,2.0,22.0,2,6.0,6000.0,3255.0
40,25,56,52,2.0,2,2,2.0,1.0,,2.0,12.0,2,6.0,,
41,25,65,8,2.0,2,2,,2.0,,2.0,4.0,2,,,
42,25,7,39,2.0,2,2,2.0,2.0,,2.0,22.0,1,1.0,3600.0,2060.0
43,25,13,71,1.0,1,2,2.0,1.0,2.0,2.0,11.0,1,6.0,,
44,25,13,74,1.0,2,1,1.0,1.0,,1.0,16.0,2,6.0,,
45,25,25,69,2.0,2,2,2.0,2.0,2.0,2.0,22.0,1,6.0,6203.0,20.0
46,25,23,68,2.0,1,2,2.0,2.0,,2.0,20.0,2,6.0,,5700.0
47,25,19,20,2.0,2,2,2.0,2.0,,2.0,12.0,2,1.0,,6050.0
48,25,22,3,,2,2,,,,,1.0,2,,,
49,25,32,1,,2,2,,,,,,1,,,
